"Song_Title","Band","Album_Name","Year_of_First_Release","Single","Writers","Track_Number","Song_Duration","Record_Label","Key","Mode","Loudness","Tempo","Acousticness","Danceability","Energy","Instrumentalness","Liveness","Speechiness","Valence","Genres","Styles","Moods","Themes","British_Charts","UK_Debut_Date","UK_Peak_Pos","UK_Chart_Weeks","US_100","US_Debut_Date","US_Peak_Pos","US_Chart_Weeks","Year","AUS","CAN","GER","NLD","NZ","SWE","SWI","Certifications"
"Ain't No Fun (Waiting Round to Be a Millionaire)","AC/DC","Dirty Deeds Done Dirt Cheap","1976","No","Bon Scott, Angus Young, Malcolm Young","7","07:29","Legacy / Epic / Sony Music",2,1,-4.727,123.819,0.00919,0.403,0.806,0.0353,0.113,0.0562,0.551,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Energetic, Outrageous, Rambunctious, Brash, Greasy, Gritty, Aggressive, Angry","Cool & Cocky, Drinking, Freedom, Guys Night Out, Motivation, Road Trip, Victory","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"All Screwed Up","AC/DC","Stiff Upper Lip","2000","No","Angus Young, Malcolm Young","11","04:36","EastWest",9,1,-3.962,102.685,0.0222,0.569,0.591,0.00123,0.0771,0.037,0.577,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Anything Goes ","AC/DC","Black Ice","2008","Yes","Angus Young, Malcolm Young","4","03:22","Columbia",2,1,-2.717,120.895,0.000522,0.605,0.9,0.0271,0.0466,0.0291,0.467,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Are You Ready ","AC/DC","AC/DC Live","1990","Yes","Angus Young, Malcolm Young","7","04:10","Atco",7,1,-4.816,108.529,0.0165,0.452,0.821,3.53e-06,0.13,0.0324,0.414,NA,NA,NA,NA,"Yes","27 Apr 1991","34","3","No","-","-","-","1991","18","-","38","-","1","-","-","-"
"Baby, Please Don't Go ","AC/DC","High Voltage","1975","Yes","Big Joe Williams",NA,NA,"Legacy / Epic / Sony Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Back in Black ","AC/DC","Back in Black","1980","Yes","Brian Johnson, Angus Young, Malcolm Young","3","04:15","Sony Music",9,1,-5.678,188.386,0.011,0.31,0.7,0.00965,0.0828,0.047,0.763,NA,NA,NA,NA,"Yes","01 Dec 2012","27","4","Yes","12.20.80","37","15","1980","65","-","-","-","-","100","-","GER: Platinum[37]
UK: 2× Platinum[27]
US: 3× Platinum (mastertone)[28]"
"Back in Business","AC/DC","Fly on the Wall","1985","No","Brian Johnson, Angus Young, Malcolm Young","9","04:24","Legacy / Epic",5,1,-3.983,107.991,0.0129,0.536,0.972,0.875,0.1,0.0416,0.482,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Back Seat Confidential","AC/DC","Volts","1997","No","Bon Scott, Angus Young, Malcolm Young",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pop/Rock","Hard Rock","Aggressive, Rebellious, Rousing","Seduction, Sex","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Bad Boy Boogie","AC/DC","If You Want Blood You've Got It","1977","No","Bon Scott, Angus Young, Malcolm Young","3","07:29","Legacy / Epic",9,1,-4.963,141.482,0.12,0.494,0.853,0.192,0.254,0.0806,0.538,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Energetic, Rebellious, Greasy, Gritty, Aggressive, Angry, Boisterous, Fiery","Cool & Cocky, Freedom, Guys Night Out, Road Trip, TGIF, Victory","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Badlands","AC/DC","Flick of the Switch","1983","No","Brian Johnson, Angus Young, Malcolm Young","9","03:38","Legacy / Epic",7,1,-3.966,106.311,8.1e-05,0.502,0.891,0.772,0.468,0.0312,0.484,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
